sampleID,Code,dry_weight
19PS1R4,L_636,3.007
19SH2R4,L_764,5.38
21MBCR1R1,M_31,3.8377
21MBCR1R1FW,M_41,3.3491
21MBCR1R1UE,M_36,3.6445
21MBCR1R2,M_121,3.2341
21MBCR1R2FW,M_131,3.1697
21MBCR1R2UE,M_126,3.0836
21MBCR1R3,M_211,3.0391
21MBCR1R3FW,M_221,3.5737
21MBCR1R3UE,M_216,3.1309
21MBCR2R1,M_32,3.1284
21MBCR2R1FW,M_42,3.5579
21MBCR2R1UE,M_37,3.188
21MBCR2R2,M_122,
21MBCR2R2FW,M_132,3.5869
21MBCR2R2UE,M_127,2.9511
21MBCR2R3,M_212,3.2077
21MBCR2R3FW,M_222,3.3562
21MBCR2R3UE,M_217,3.1198
21MBCR3R1,M_33,3.2231
21MBCR3R1FW,M_43,3.4504
21MBCR3R1UE,M_38,3.9913
21MBCR3R2,M_123,3.282
21MBCR3R2FW,M_133,3.2403
21MBCR3R2UE,M_128,3.4278
21MBCR3R3,M_213,3.3164
21MBCR3R3FW,M_223,3.2479
21MBCR3R3UE,M_218,3.2714
21MBCR4R1,M_34,3.7674
21MBCR4R1FW,M_44,3.382
21MBCR4R1UE,M_39,3.5672
21MBCR4R2,M_124,3.3216
21MBCR4R2FW,M_134,3.2872
21MBCR4R2UE,M_129,3.2566
21MBCR4R3,M_214,3.7855
21MBCR4R3FW,M_224,3.4293
21MBCR4R3UE,M_219,3.5099
21MBCR5R1,M_35,3.6041
21MBCR5R1FW,M_45,3.3505
21MBCR5R1UE,M_40,3.7217
21MBCR5R2,M_125,3.4629
21MBCR5R2FW,M_135,3.5189
21MBCR5R2UE,M_130,3.3942
21MBCR5R3,M_215,
21MBCR5R3FW,M_225,3.2731
21MBCR5R3UE,M_220,2.9239
21MBGR1R1,M_76,3.2701
21MBGR1R1FW,M_86,3.4525
21MBGR1R1UE,M_81,3.5191
21MBGR1R2,M_166,3.4398
21MBGR1R2FW,M_176,3.3671
